Site Name:,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane,Snake Range West Montane
Deployment:,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor,Atmospheric pressure monitor,Atmospheric pressure monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Longwave and shortwave radiation monitor,Primary data logger,Primary data logger,Primary data logger,Primary data logger,Primary data logger,Primary data logger,Primary data logger,Primary data logger,Quantum photosynthetic photon flux density monitor,Quantum photosynthetic photon flux density monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (17-32-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (2-17-cm vertical) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (4-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil state (8-inch horizontal) monitor,Soil temperature (1-inch) monitor,Soil temperature (1-inch) monitor,Soil temperature (1-inch) monitor,Soil temperature (1-inch) monitor,Soil temperature (1-inch) monitor,Soil temperature (1-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (2-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (20-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (4-inch) monitor,Soil temperature (8-inch) monitor,Soil temperature (8-inch) monitor,Soil temperature (8-inch) monitor,Soil temperature (8-inch) monitor,Soil temperature (8-inch) monitor,Soil temperature (8-inch) monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Solar radiation monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor,Wind velocity monitor
Monitored System:,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Monitoring Hardware,Atmosphere,Atmosphere,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Soil,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere,Atmosphere
Measured Property:,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Relative humidity,Relative humidity,Relative humidity,Temperature,Temperature,Temperature,Relative humidity,Relative humidity,Relative humidity,Barometric pressure,Barometric pressure,Radiation: Incoming shortwave,Radiation: Incoming longwave,Radiation: Outgoing shortwave,Radiation: Outgoing longwave,Radiation: Incoming shortwave,Radiation: Incoming longwave,Radiation: Outgoing shortwave,Radiation: Outgoing longwave,Data logger power system voltage,Data logger power system voltage,Data logger power system voltage,Data logger temperature,Data logger power system voltage,Data logger power system voltage,Data logger power system voltage,Data logger temperature,Radiation: Photosynthetically active,Radiation: Photosynthetically active,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Volumetric water content,Temperature,Electric conductivity,Permittivity,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Radiation: Solar,Radiation: Solar,Radiation: Solar,Radiation: Solar,Radiation: Solar,Radiation: Solar,Radiation: Solar,Radiation: Solar,Wind speed,Wind speed,Wind speed,Wind speed,Wind direction,Wind direction,Wind speed,Wind speed,Wind speed,Wind speed,Wind direction,Wind direction,Wind speed,Wind speed
Vertical Offset from Surface:,10m height,10m height,10m height,10m height,10m height,10m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,1.5m height,1.5m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,2m height,Surface,Surface,Surface,Surface,Surface,Surface,Surface,Surface,4m height,4m height,24.5cm depth,24.5cm depth,24.5cm depth,24.5cm depth,24.5cm depth,24.5cm depth,24.5cm depth,24.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,9.5cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,2.54cm depth,2.54cm depth,2.54cm depth,2.54cm depth,2.54cm depth,2.54cm depth,5.08cm depth,5.08cm depth,5.08cm depth,5.08cm depth,5.08cm depth,5.08cm depth,50.8cm depth,50.8cm depth,50.8cm depth,50.8cm depth,50.8cm depth,50.8cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,10.16cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,20.32cm depth,4m height,4m height,4m height,4m height,4m height,4m height,4m height,4m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height,10m height
Units:,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,%,%,%,degC,degC,degC,%,%,%,Pa,Pa,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,V,V,V,degC,V,V,V,degC,umol/m2 s,umol/m2 s,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,-,degC,S/m,-,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,m/s,m/s,m/s,m/s,degN,degN,m/s,m/s,m/s,m/s,degN,degN,m/s,m/s
Measurement Type:,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Minimum,Maximum,Average,Average,Minimum,Maximum,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Average,Minimum,Maximum,Standard deviation,Average,Minimum,Maximum,Standard deviation,Average,Minimum,Maximum,Standard deviation,Resultant average,Standard deviation,Average,Minimum,Maximum,Standard deviation,Resultant average,Standard deviation,Resultant average,Resultant average
Measurement interval:,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:10:00,00:10:00,00:10:00,00:10:00,00:10:00,00:10:00,00:01:00,00:10:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2018 12:00:00 AM,1.711,1.588,1.843,1.514,1.19,1.843,-2.139,-2.344,-1.883,-2.13,-2.366,-1.879,-2.426,-2.448,-2.405,26.59,26.18,27.12,-2.375,-2.474,-2.231,26.62,25.85,27.51,72807.07,72809.89,-2.139,-92.7,2.798,-17.84,-2.446,-90.9,2.477,-17.48,12.57,12.56,12.58,-2.771,12.55,12.26,12.58,-2.773,0,0,0.065,0.009,0.4383,-1.594,0.065,0.009,0.4383,-1.612,0.052,0.006,0.3875,-0.965,0.052,0.006,0.3875,-0.967,0.065,0.007,0.4394,-2.87,0.065,0.007,0.4396,-2.822,0.077,0.01,0.4871,-1.995,0.077,0.01,0.4871,-1.996,-4.403,-4.503,-4.332,-4.415,-4.552,-4.285,-3.591,-3.645,-3.474,-3.596,-3.728,-3.474,0.138,0.077,0.181,0.12,0.001,0.23,-2.583,-2.686,-2.495,-2.579,-2.731,-2.461,-1.662,-1.746,-1.607,-1.678,-1.805,-1.573,0,0,0,0,0,0,0,0,3.05149504,1.92718944,4.4748704,0.7443216,24.7,9.1,2.51102368,1.07781344,4.4748704,0.6727952,27.73,15.39,3.0130496,2.4207216
1/1/2018 1:00:00 AM,1.773,1.614,1.97,1.472,0.852,1.97,-2.275,-2.437,-2.127,-1.982,-2.561,-1.331,-2.492,-2.538,-2.457,28.62,28.29,29.01,-2.266,-2.538,-2.077,27.66,27,29.01,72818.3,72817.45,-2.017,-94.1,2.959,-18.36,-2.909,-94.6,2.177,-18.54,12.56,12.55,12.56,-3.155,12.53,12.22,12.56,-3.127,0,0,0.065,0.009,0.4383,-1.641,0.065,0.009,0.4383,-1.636,0.052,0.006,0.3867,-0.945,0.052,0.006,0.3867,-0.957,0.065,0.007,0.4385,-2.92,0.065,0.007,0.4385,-2.904,0.077,0.01,0.4881,-2.03,0.077,0.01,0.4874,-2.017,-4.507,-4.6,-4.406,-4.487,-4.641,-4.356,-3.666,-3.773,-3.567,-3.643,-3.773,-3.524,0.164,0.086,0.256,0.167,0.077,0.272,-2.668,-2.748,-2.589,-2.639,-2.753,-2.512,-1.671,-1.751,-1.583,-1.685,-1.814,-1.562,0,0,0,0,0,0,0,0,3.55262688,2.38451136,4.9666144,0.63300864,33.47,5.721,2.5347168,1.20834912,4.9666144,0.69648832,33.74,10.3,3.53474528,2.49358912
